polarity,homeless_trend
0.7263,-9
0.7269,120
0.8176,-9
0.5267,-51
0.5423,2582
0.6908,-51
0.8442,44
0.9246,-9
0.5719,2582
0.5859,426
0.7964,1624
0.8553,2024
0.8225,1624
0.7959,368
0.6705,426
0.6369,1624
0.9037,-140
0.9001,1624
0.5399,-9
0.8953,368
0.8555,368
0.6892,-9
0.7783,-9
0.6249,-9
0.872,2582
0.6369,368
0.6202,1624
0.5563,48
0.6705,-9
0.7184,-9
0.743,368
0.6249,-9
0.8519,2024
0.6369,2024
0.807,-9
0.7959,-9
0.5994,2024
0.6124,-9
0.743,1624
0.6249,-9
0.743,-9
0.743,-9
0.743,-9
0.743,-9
0.8016,-9
0.8016,-9
0.8016,-9
0.8016,-9
0.8481,120
0.8481,120
0.8481,120
0.8481,120
0.7184,1624
0.7184,1624
0.7184,1624
0.7184,1624
0.9133,2024
0.9133,2024
0.9133,2024
0.9133,2024
0.6476,84
0.6476,84
0.6476,84
0.6476,84
0.9201,-51
0.9201,-51
0.9201,-51
0.9201,-51
0.5106,-9
0.5106,-9
0.5106,-9
0.5106,-9
0.5255,-9
0.5255,-9
0.5255,-9
0.5255,-9
0.658,120
0.658,120
0.658,120
0.658,120
0.7574,-9
0.7574,-9
0.7574,-9
0.7574,-9
0.5859,-140
0.5859,-140
0.5859,-140
0.5859,-140
0.5707,2024
0.5707,2024
0.5707,2024
0.5707,2024
0.7003,2024
0.7003,2024
0.7003,2024
0.7003,2024
0.8126,-1215
0.8126,-1215
0.8126,-1215
0.8126,-1215
0.6249,-9
0.6249,-9
0.6249,-9
0.6249,-9
0.7269,-9
0.7269,-9
0.7269,-9
0.7269,-9
0.5719,51
0.5719,51
0.5719,51
0.5719,51
0.836,-9
0.836,-9
0.836,-9
0.836,-9
0.8402,115
0.8402,115
0.8402,115
0.8402,115
0.6663,136
0.6663,136
0.6663,136
0.6663,136
0.5719,2024
0.5719,2024
0.5719,2024
0.5719,2024
0.765,2024
0.765,2024
0.765,2024
0.765,2024
0.5994,368
0.5994,368
0.5994,368
0.5994,368
0.5719,-9
0.5719,-9
0.5719,-9
0.5719,-9
0.8402,-9
0.8402,-9
0.8402,-9
0.8402,-9
0.6588,-9
0.6588,-9
0.6588,-9
0.6588,-9
0.765,-9
0.765,-9
0.765,-9
0.765,-9
0.765,3129
0.765,3129
0.765,3129
0.765,3129
0.5707,-9
0.5707,-9
0.5707,-9
0.5707,-9
0.6688,-49
0.6688,-49
0.6688,-49
0.6688,-49
0.7096,-17
0.7096,-17
0.7096,-17
0.7096,-17
0.765,2024
0.765,2024
0.765,2024
0.765,2024
0.765,-9
0.765,-9
0.765,-9
0.765,-9
0.8225,-9
0.8225,-9
0.8225,-9
0.8225,-9
0.81,-9
0.81,-9
0.81,-9
0.81,-9
0.6239,-9
0.6239,-9
0.6239,-9
0.6239,-9
0.8625,32
0.8625,32
0.8625,32
0.8625,32
0.8268,-9
0.8268,-9
0.8268,-9
0.8268,-9
0.9035,368
0.9035,368
0.9035,368
0.9035,368
0.5423,15
0.5423,15
0.5423,15
0.5423,15
0.636,10
0.636,10
0.636,10
0.636,10
0.8126,-140
0.8126,-140
0.8126,-140
0.8126,-140
0.5994,149
0.5994,149
0.5994,149
0.5994,149
0.865,10
0.865,10
0.865,10
0.865,10
0.5837,10
0.5837,10
0.5837,10
0.5837,10
0.6369,210
0.6369,210
0.6369,210
0.6369,210
0.6633,1624
0.6633,1624
0.6633,1624
0.6633,1624
0.5719,-9
0.5719,-9
0.5719,-9
0.5719,-9
0.5719,2024
0.5719,2024
0.5719,2024
0.5719,2024
0.6476,84
0.6476,84
0.6476,84
0.6476,84
0.5719,-9
0.765,2024
0.7096,-9
0.8164,10
0.5994,55
0.8714,-9
0.836,2024
0.7003,189
0.636,189
0.5514,283
0.5386,2024
0.5719,-9
0.6588,-49
0.8513,99
0.6249,120
0.7678,89
0.5719,-9
0.5267,136
0.9523,2024
0.6249,179
0.5994,-9
0.8143,380
0.6369,115
0.873,-9
0.8519,2024
0.8519,2024
0.8519,-9
0.7639,46
0.5267,44
0.5859,7
0.8519,-9
0.5719,-9
0.7964,-9
0.6996,10
0.6249,16
0.8519,2024
0.7579,2024
0.8519,2024
0.6331,2024
0.7164,-9
0.6369,44
0.5719,368
0.8997,2024
0.807,44
0.6369,-2
0.8271,2024
0.6588,-33
0.8297,120
0.9286,-9
0.7184,46
0.5859,2024
0.6705,2582
0.6433,368
0.6884,-9
0.5994,2024
0.7184,189
0.7425,2024
0.743,2024
0.765,10
0.6908,120
0.5719,48
0.7717,2582
0.6249,2024
0.8779,426
0.743,-33
0.743,1624
0.7783,1624
0.6249,2024
0.7906,3129
0.5106,10
0.5256,-241
0.5267,368
0.8481,368
0.6808,183
0.7964,-9
0.6369,114
0.6114,2024
0.8442,5
0.5859,2582
0.624,10
0.6588,-6
0.6369,-9
0.5106,5
0.5106,5
0.5106,5
0.6369,368
0.6369,368
0.6369,368
0.5244,-51
0.5244,-51
0.5244,-51
0.5826,2582
0.5826,2582
0.5826,2582
0.6369,2024
0.6369,2024
0.6369,2024
0.7579,10
0.7579,10
0.7579,10
0.9084,-9
0.9084,-9
0.9084,-9
0.6249,107
0.6249,107
0.6249,107
0.5256,66
0.5256,66
0.5256,66
0.5859,2024
0.5859,2024
0.5859,2024
0.8519,-9
0.8519,-9
0.8519,-9
0.5709,-140
0.5709,-140
0.5709,-140
0.7717,43
0.7717,43
0.7717,43
0.6705,-9
0.6705,-9
0.6705,-9
0.6696,18
0.6696,18
0.6696,18
0.8356,-9
0.8356,-9
0.8356,-9
0.5719,3129
0.5719,3129
0.5719,3129
0.6369,2024
0.6369,2024
0.6369,2024
0.6988,2024
0.6988,2024
0.6988,2024
