polarity,homeless,homeless_trend
0.8519,4,-9
0.8519,4,-9
0.8519,4,-9
0.5719,327,48
0.5719,327,48
0.5719,327,48
0.836,4,-9
0.836,4,-9
0.836,4,-9
0.6249,295,-14
0.6249,295,-14
0.6249,295,-14
0.6705,4,-9
0.6705,4,-9
0.6705,4,-9
0.7707,4,-9
0.7707,4,-9
0.7707,4,-9
0.6249,4,-9
0.6249,4,-9
0.6249,4,-9
0.7783,497,115
0.7783,497,115
0.7783,497,115
0.7184,2582,2582
0.7184,2582,2582
0.7184,2582,2582
0.5106,5813,1624
0.5106,5813,1624
0.5106,5813,1624
0.5859,1708,368
0.5859,1708,368
0.5859,1708,368
0.5719,4,-9
0.5719,4,-9
0.5719,4,-9
0.624,5813,1624
0.624,5813,1624
0.624,5813,1624
0.5719,255,-3
0.5719,255,-3
0.5719,255,-3
0.6124,1708,368
0.6124,1708,368
0.6124,1708,368
0.8118,327,48
0.8118,327,48
0.8118,327,48
0.6369,5813,1624
0.6369,5813,1624
0.6369,5813,1624
0.5423,5813,1624
0.5423,5813,1624
0.5423,5813,1624
0.5994,65,-6
0.5994,65,-6
0.5994,65,-6
0.626,4,-9
0.626,4,-9
0.626,4,-9
0.9741,1708,368
0.9741,1708,368
0.9741,1708,368
0.7783,5061,2024
0.7783,5061,2024
0.7783,5061,2024
0.743,4,-9
0.743,4,-9
0.743,4,-9
0.6114,4,-9
0.6114,4,-9
0.6114,4,-9
0.7424,5061,2024
0.7424,5061,2024
0.7424,5061,2024
0.8356,4,-9
0.8356,4,-9
0.8356,4,-9
0.6588,4,-9
0.6588,4,-9
0.6588,4,-9
0.6369,1708,368
0.6369,1708,368
0.6369,1708,368
0.6369,4,-9
0.6369,4,-9
0.6369,4,-9
0.9124,750,120
0.9124,750,120
0.9124,750,120
0.7783,3129,3129
0.7783,3129,3129
0.7783,3129,3129
0.6249,4,-9
0.6249,4,-9
0.6249,4,-9
0.765,327,48
0.765,327,48
0.765,327,48
0.8452,2582,2582
0.8452,2582,2582
0.8452,2582,2582
